year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
1940,1941,13,Best Actor,Male,James Stewart,White,The Philadelphia Story,TRUE
1940,1941,13,Best Actor in supporting role,Male,Walter Brennan,White,The Westerner,TRUE
1940,1941,13,Best Actress,Female,Ginger Rogers,White,Kitty Foyle,TRUE
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Female,Jane Darwell,White,The Grapes of Wrath,TRUE
1941,1942,14,Best Actor,Male,Gary Cooper,White,Sergeant York,TRUE
1941,1942,14,Best Actor in supporting role,Male,Donald Crisp,White,How Green Was My Valley,TRUE
1941,1942,14,Best Actress,Female,Joan Fontaine,White,Suspicion,TRUE
1941,1942,14,ACTRESS IN A SUPPORTING ROLE,Female,Mary Astor,White,The Great Lie,TRUE
1942,1943,15,Best Actor,Male,James Cagney,White,Yankee Doodle Dandy,TRUE
1942,1943,15,Best Actor in supporting role,Male,Van Heflin,White,Johnny Eager,TRUE
1942,1943,15,Best Actress,Female,Greer Garson,White,Mrs. Miniver,TRUE
1942,1943,15,ACTRESS IN A SUPPORTING ROLE,Female,Teresa Wright,White,Mrs. Miniver,TRUE
1943,1944,16,Best Actor,Male,Paul Lukas,White,Watch on the Rhine,TRUE
1943,1944,16,Best Actor in supporting role,Male,Charles Coburn,White,The More the Merrier,TRUE
1943,1944,16,Best Actress,Female,Jennifer Jones,White,The Song of Bernadette,TRUE
1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Female,Katina Paxinou,White,For Whom the Bell Tolls,TRUE
1944,1945,17,Best Actor,Male,Bing Crosby,White,Going My Way,TRUE
1944,1945,17,Best Actor in supporting role,Male,Barry Fitzgerald,White,Going My Way,TRUE
1944,1945,17,Best Actress,Female,Ingrid Bergman,White,Gaslight,TRUE
1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Female,Ethel Barrymore,White,None but the Lonely Heart,TRUE
1945,1946,18,Best Actor,Male,Ray Milland,White,The Lost Weekend,TRUE
1945,1946,18,Best Actor in supporting role,Male,James Dunn,White,A Tree Grows in Brooklyn,TRUE
1945,1946,18,Best Actress,Female,Joan Crawford,White,Mildred Pierce,TRUE
1945,1946,18,ACTRESS IN A SUPPORTING ROLE,Female,Anne Revere,White,National Velvet,TRUE
1946,1947,19,Best Actor,Male,Fredric March,White,The Best Years of Our Lives,TRUE
1946,1947,19,Best Actor in supporting role,Male,Harold Russell,White,The Best Years of Our Lives,TRUE
1946,1947,19,Best Actress,Female,Olivia de Havilland,White,To Each His Own,TRUE
1946,1947,19,ACTRESS IN A SUPPORTING ROLE,Female,Anne Baxter,White,The Razor's Edge,TRUE
1947,1948,20,Best Actor,Male,Ronald Colman,White,A Double Life,TRUE
1947,1948,20,Best Actor in supporting role,Male,Edmund Gwenn,White,Miracle on 34th Street,TRUE
1947,1948,20,Best Actress,Female,Loretta Young,White,The Farmer's Daughter,TRUE
1947,1948,20,ACTRESS IN A SUPPORTING ROLE,Female,Celeste Holm,White,Gentleman's Agreement,TRUE
1948,1949,21,Best Actor,Male,Laurence Olivier,White,Hamlet,TRUE
1948,1949,21,Best Actor in supporting role,Male,Walter Huston,White,The Treasure of the Sierra Madre,TRUE
1948,1949,21,Best Actress,Female,Jane Wyman,White,Johnny Belinda,TRUE
1948,1949,21,ACTRESS IN A SUPPORTING ROLE,Female,Claire Trevor,White,Key Largo,TRUE
1949,1950,22,Best Actor,Male,Broderick Crawford,White,All the King's Men,TRUE
1949,1950,22,Best Actor in supporting role,Male,Dean Jagger,White,Twelve O'Clock High,TRUE
1949,1950,22,Best Actress,Female,Olivia de Havilland,White,The Heiress,TRUE
1949,1950,22,ACTRESS IN A SUPPORTING ROLE,Female,Mercedes McCambridge,White,All the King's Men,TRUE
1950,1951,23,Best Actor,Male,José Ferrer,White,Cyrano de Bergerac,TRUE
1950,1951,23,Best Actor in supporting role,Male,George Sanders,White,All about Eve,TRUE
1950,1951,23,Best Actress,Female,Judy Holliday,White,Born Yesterday,TRUE
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Female,Josephine Hull,White,Harvey,TRUE
1951,1952,24,Best Actor,Male,Humphrey Bogart,White,The African Queen,TRUE
1951,1952,24,Best Actor in supporting role,Male,Karl Malden,White,A Streetcar Named Desire,TRUE
1951,1952,24,Best Actress,Female,Vivien Leigh,White,A Streetcar Named Desire,TRUE
1951,1952,24,ACTRESS IN A SUPPORTING ROLE,Female,Kim Hunter,White,A Streetcar Named Desire,TRUE
1952,1953,25,Best Actor,Male,Gary Cooper,White,High Noon,TRUE
1952,1953,25,Best Actor in supporting role,Male,Anthony Quinn,White,Viva Zapata!,TRUE
1952,1953,25,Best Actress,Female,Shirley Booth,White,"Come Back, Little Sheba",TRUE
1952,1953,25,ACTRESS IN A SUPPORTING ROLE,Female,Gloria Grahame,White,The Bad and the Beautiful,TRUE
1953,1954,26,Best Actor,Male,William Holden,White,Stalag 17,TRUE
1953,1954,26,Best Actor in supporting role,Male,Frank Sinatra,White,From Here to Eternity,TRUE
1953,1954,26,Best Actress,Female,Audrey Hepburn,White,Roman Holiday,TRUE
